AreaSQFT,BuildingType,Trade,Complexity,Days
16000,College / University,Telecomm,4,2.08
35000,Government,Power,4,5.46
64200,College / University,Domestic water,4,6.24
159906,Other Commercial,Sanitary & Storm,4,20.79
143670,Healthcare,Domestic water,4,17.67
710197,Hotel,Sanitary & Storm,4,36.38
710197,Hotel,Domestic water,4,24.95
47000,Healthcare,Medical Gas,4,3.12
544672,School,Mech. Duct,4,54.57
776296,Hotel,Domestic water,4,28.07
776296,Hotel,Lighting,4,17.67
55206,School,Mech. Duct,4,12.99
20000,Residential,Mech. Pipe,4,4.16
20000,Residential,Lighting,4,5.20
65000,School,Medical Gas,4,2.60
140500,Office Building,Lighting,4,5.20
219939,School,Mech. Duct,4,28.07
143516,Residential,Lighting,4,7.07
75550,Residential,Telecomm,4,5.20
25000,Government,Mech. Duct,4,6.76
25000,Government,Power,4,4.42
82644,School,Mech. Duct,4,15.07
82644,School,Mech. Pipe,4,7.80
6650,Military,Domestic water,4,2.08
45131,Healthcare,Medical Gas,4,3.12
124000,Residential,Power,4,12.47
146000,Healthcare,Lighting,4,5.20
72746,School,Domestic water,4,8.06
57802,Healthcare,Power,4,9.88
28700,Warehouse / Supermarket,Lighting,4,2.08
342000,School,Power,4,18.71
134972,College / University,Domestic water,4,11.43
15000,Other Commercial,Power,4,5.20
23600,School,Telecomm,4,3.12
42500,School,Mech. Duct,4,11.95
166506,School,Lighting,4,8.32
87410,School,Lighting,4,4.94
65000,Healthcare,Mech. Duct,4,13.51
40000,Office Building,Sanitary & Storm,4,8.32
40000,Office Building,Domestic water,4,5.72
40000,Office Building,Fire Alarm,4,2.08
25000,Government,Mech. Duct,4,6.76
85000,Military,Lighting,4,4.16
31211,School,Sanitary & Storm,4,6.76
31211,School,Sanitary & Storm,4,6.76
69650,Healthcare,Medical Gas,4,3.90
27619,College / University,Sanitary & Storm,4.5,4.87
27619,College / University,Telecomm,4.5,2.57
75000,Hotel,Mech. Duct,4.5,13.85
75000,Hotel,Sanitary & Storm,4.5,15.91
62000,Other Educational,Domestic water,4.5,5.39
62000,Other Educational,Lighting,4.5,4.41
178000,School,Sanitary & Storm,4.5,22.06
44000,School,Mech. Pipe,4.5,5.13
44000,School,Fire Alarm,4.5,1.03
106974,School,Power,4.5,10.26
145850,School,AV /Wireless,4.5,2.57
343900,Healthcare,Medical Gas,4.5,12.83
103783,School,Domestic water,4.5,10.26
103783,School,Lighting,4.5,6.16
103783,School,AV /Wireless,4.5,2.26
138309,Healthcare,Mech. Duct,4.5,32.58
76545,School,Fire Alarm,4.5,1.54
66980,College / University,Mech. Pipe,4.5,7.95
23900,Healthcare,Telecomm,4.5,2.05
88059,School,Power,4.5,9.24
178000,Healthcare,Sanitary & Storm,4.5,36.43
50621,School,Mech. Pipe,4.5,5.64
14520,College / University,Domestic water,4.5,2.05
14520,College / University,Lighting,4.5,2.05
120200,Hotel,Mech. Pipe,4.5,11.80
49000,Government,Power,4.5,6.67
66792,Residential,Mech. Duct,4.5,14.88
107000,School,Mech. Duct,4.5,18.98
78500,School,Lighting,4.5,5.13
53767,Office Building,Mech. Duct,4.5,10.77
40000,College / University,Lighting,4.5,2.57
17895,College / University,Domestic water,4.5,2.31
53775,Government,Lighting,4.5,3.85
128000,School,Telecomm,4.5,5.13
100000,School,Mech. Duct,4.5,17.44
80000,School,Power,4.5,8.47
9500,College / University,Sanitary & Storm,4.5,2.67
9500,College / University,Fire Alarm,4.5,0.36
470174,School,AV /Wireless,4.5,5.13
57630,Warehouse / Supermarket,Domestic water,4.5,5.13
37790,Industrial,Sanitary & Storm,4.5,3.59
405802,Residential,AV /Wireless,4.5,4.10
77557,School,Lighting,4.5,5.13
44840,College / University,Domestic water,4.5,4.62
36000,Hotel,Domestic water,4.5,10.77
296622,Residential,Domestic water,4.5,21.24
296622,Residential,Power,4.5,18.16
115000,School,Power,4.5,10.01
104000,College / University,Medical Gas,4.5,5.13
92000,Office Building,Fire Alarm,4.5,2.31
196000,Healthcare,Fire Alarm,4.5,3.08
26000,School,Power,4.5,6.67
141936,School,Mech. Pipe,4.5,11.80
25000,College / University,Domestic water,4.5,3.08
23427,Government,Fire Alarm,4.5,1.03
242456,School,Domestic water,4.5,18.98
15552,Healthcare,Telecomm,4.5,1.54
25878,Government,Lighting,4.5,2.05
115000,College / University,Domestic water,4.5,10.98
95800,School,Sanitary & Storm,4.5,14.11
95000,Government,Fire Alarm,4.5,2.57
47000,Other Commercial,Lighting,4.5,3.85
81544,College / University,Mech. Duct,4.5,15.65
99000,School,Power,4.5,9.24
99000,School,Fire Alarm,4.5,2.05
54000,Industrial,Lighting,4.5,3.34
64105,Residential,Mech. Duct,4.5,14.88
64105,Residential,Domestic water,4.5,11.80
64105,Residential,Lighting,4.5,6.16
100000,School,Sanitary & Storm,4.5,13.85
28500,Industrial,Lighting,4.5,2.57
8248,Government,Lighting,4.5,1.03
8248,Government,Telecomm,4.5,1.03
38000,Residential,Mech. Duct,4.5,13.85
50000,Military,Telecomm,4.5,4.10
145000,School,Mech. Duct,4.5,21.55
30000,Government,Lighting,4.5,2.31
13000,Government,Power,4.5,3.59
62252,Transport,Power,4.5,6.16
88000,Government,Mech. Duct,4.5,12.11
130150,Industrial,Mech. Duct,4.5,26.68
135963,Industrial,Telecomm,4.5,5.90
85000,School,Telecomm,4.5,4.36
115000,School,Lighting,4.5,6.41
23900,Healthcare,Mech. Pipe,4.5,3.59
18700,Warehouse / Supermarket,Telecomm,4.5,2.05
186000,Residential,Fire Alarm,4.5,3.08
283285,Residential,Sanitary & Storm,4.5,27.19
39971,Healthcare,Lighting,4.5,4.36
60391,Military,Mech. Pipe,4.5,6.16
67000,School,Domestic water,4.5,8.21
132677,School,Lighting,4.5,7.18
116500,School,Mech. Duct,4.5,19.50
116500,School,Mech. Pipe,4.5,10.26
16000,College / University,Power,4.5,6.16
222078,Government,Mech. Pipe,4.5,16.42
64200,College / University,Lighting,4.5,3.08
175354,School,Mech. Duct,4.5,25.40
175354,School,Mech. Pipe,4.5,14.37
267000,School,Mech. Duct,4.5,33.86
267000,School,Sanitary & Storm,4.5,31.55
267000,School,Domestic water,4.5,21.04
267000,School,Telecomm,4.5,7.18
143670,Healthcare,Mech. Duct,4.5,34.89
108200,School,Mech. Pipe,4.5,9.75
208833,Office Building,AV /Wireless,4.5,1.54
710197,Hotel,Mech. Duct,4.5,61.57
33000,School,Sanitary & Storm,4.5,7.44
115000,School,Power,4.5,10.01
776296,Hotel,Sanitary & Storm,4.5,42.07
225230,Other Commercial,Fire Alarm,4.5,2.57
842043,Office Building,Domestic water,4.5,17.65
41900,Warehouse / Supermarket,Mech. Pipe,4.5,6.00
41900,Warehouse / Supermarket,Sanitary & Storm,4.5,6.93
124000,School,Sanitary & Storm,4.5,16.68
124000,School,Lighting,4.5,6.93
124000,School,Power,4.5,10.52
124000,School,Telecomm,4.5,5.13
65000,School,Power,4.5,7.95
65000,School,Telecomm,4.5,4.10
219939,School,Lighting,4.5,10.52
100000,School,Mech. Pipe,4.5,9.49
48169,Healthcare,Mech. Pipe,4.5,5.64
895000,Parking,Fire Alarm,4.5,1.54
75550,Residential,AV /Wireless,4.5,2.57
25000,Government,Sanitary & Storm,4.5,7.44
200000,School,Lighting,4.5,10.26
82644,School,Domestic water,4.5,9.24
45131,Healthcare,Mech. Duct,4.5,10.26
182000,College / University,Domestic water,4.5,16.42
182000,College / University,Power,4.5,12.83
135963,Industrial,Telecomm,4.5,5.90
55806,Warehouse / Supermarket,Sanitary & Storm,4.5,6.67
347122,Industrial,Power,4.5,45.41
28700,Warehouse / Supermarket,Domestic water,4.5,5.13
28700,Warehouse / Supermarket,Telecomm,4.5,2.05
245000,School,Lighting,4.5,12.31
342000,School,Telecomm,4.5,8.21
685551,Office Building,Fire Alarm,4.5,4.10
15000,Transport,Sanitary & Storm,4.5,3.08
14000,Office Building,Fire Alarm,4.5,2.05
87410,School,Sanitary & Storm,4.5,13.34
87410,School,Domestic water,4.5,9.24
69500,School,Mech. Duct,4.5,14.37
40000,Office Building,Mech. Duct,4.5,10.77
136207,School,Mech. Duct,4.5,20.52
136207,School,Mech. Pipe,4.5,11.80
136207,School,Power,4.5,11.03
87075,Government,Mech. Duct,4.5,11.29
87075,Government,Sanitary & Storm,4.5,10.26
25000,Government,Lighting,4.5,2.05
154000,School,Mech. Pipe,4.5,13.34
179833,Government,Mech. Pipe,4.5,13.34
179833,Government,Domestic water,4.5,12.31
154000,School,Mech. Pipe,4.5,13.34
121000,School,Domestic water,4.5,11.80
262000,Warehouse / Supermarket,Domestic water,5,5.57
77985,College / University,Lighting,5,3.80
77985,College / University,Power,5,9.12
17500,College / University,Mech. Duct,5,4.56
17500,College / University,Mech. Pipe,5,3.04
17500,College / University,Sanitary & Storm,5,4.05
64500,Office Building,Sanitary & Storm,5,9.62
120000,Healthcare,Mech. Pipe,5,13.17
26946,School,Fire Alarm,5,0.76
145850,School,Fire Alarm,5,3.04
161368,Industrial,Lighting,5,7.09
161368,Industrial,Lighting,5,7.09
343900,Healthcare,Mech. Duct,5,87.12
343900,Healthcare,Domestic water,5,47.61
40000,Healthcare,Mech. Duct,5,9.12
50621,School,Sanitary & Storm,5,9.62
701572,Warehouse / Supermarket,Telecomm,5,8.10
14520,College / University,Mech. Duct,5,4.05
68500,School,Lighting,5,5.06
68500,School,Fire Alarm,5,1.52
95425,School,Mech. Duct,5,17.98
95425,School,Domestic water,5,10.64
145925,Parking,Lighting,5,5.06
45000,College / University,Lighting,5,2.94
66792,Residential,Sanitary & Storm,5,17.47
78500,School,Sanitary & Storm,5,12.66
276000,Office Building,Power,5,12.16
33111,Other Educational,Power,5,5.32
103500,Office Building,Domestic water,5,7.39
12500,Government,Domestic water,5,4.56
9500,College / University,Mech. Duct,5,3.11
96000,Healthcare,Domestic water,5,14.38
96000,Healthcare,Lighting,5,5.14
61000,School,Mech. Pipe,5,7.09
470174,School,Mech. Pipe,5,37.99
250000,School,Sanitary & Storm,5,32.72
81544,College / University,Mech. Pipe,5,10.13
437395,Residential,Power,5,22.03
437395,Residential,Telecomm,5,6.08
74467,School,Lighting,5,5.06
45213,College / University,AV /Wireless,5,1.01
179000,School,Sanitary & Storm,5,24.31
77557,School,Domestic water,5,9.62
44840,College / University,Telecomm,5,3.04
129000,School,Domestic water,5,12.46
100894,Residential,Sanitary & Storm,5,20.26
141936,School,Power,5,12.16
10886,Other Commercial,Telecomm,5,3.04
90000,School,Domestic water,5,10.13
90000,School,Telecomm,5,4.56
242456,School,Sanitary & Storm,5,31.91
225647,School,Sanitary & Storm,5,30.14
80000,Other Commercial,Mech. Duct,5,11.14
35000,Healthcare,Mech. Duct,5,8.10
23000,Other Educational,Domestic water,5,6.08
38000,Other Commercial,Power,5,7.09
47000,Healthcare,AV /Wireless,5,1.01
95800,School,Domestic water,5,10.38
95800,School,Power,5,10.13
95800,School,Fire Alarm,5,2.03
110000,College / University,Fire Alarm,5,2.28
43100,Military,Power,5,8.10
139000,School,Fire Alarm,5,2.79
81544,College / University,Domestic water,5,8.10
225694,Residential,Lighting,5,9.62
92786,Residential,Telecomm,5,6.08
400000,Hotel,Telecomm,5,8.10
290000,Residential,Power,5,18.23
49237,Healthcare,Power,5,11.14
95007,School,Sanitary & Storm,5,14.18
50000,Military,Mech. Duct,5,10.13
55000,School,Mech. Pipe,5,6.33
55000,School,Sanitary & Storm,5,10.38
55000,School,Domestic water,5,7.85
22000,School,Telecomm,5,3.55
85400,Residential,Domestic water,5,13.37
85400,Residential,Lighting,5,7.09
88000,Government,Sanitary & Storm,5,11.14
88000,Government,Domestic water,5,8.41
52878,Healthcare,Power,5,10.64
130150,Industrial,Medical Gas,5,6.08
135963,Industrial,Power,5,19.75
158000,School,Lighting,5,8.61
85000,Other Educational,Domestic water,5,5.32
7049,Residential,Mech. Pipe,5,4.05
79340,Healthcare,Lighting,5,5.06
29743,Healthcare,Medical Gas,5,3.04
79000,Government,Telecomm,5,4.56
130000,Warehouse / Supermarket,Medical Gas,5,1.77
117527,School,Mech. Duct,5,19.75
117527,School,Mech. Pipe,5,11.14
117527,School,Power,5,11.14
31200,Residential,Sanitary & Storm,5,16.21
300000,Residential,Power,5,18.99
115000,School,Mech. Duct,5,20.26
115000,School,Power,5,11.14
72000,Warehouse / Supermarket,Mech. Duct,5,9.37
77905,Healthcare,Lighting,5,5.06
186000,Office Building,Telecomm,5,5.06
131794,Government,Domestic water,5,11.14
39971,Healthcare,Medical Gas,5,3.29
60391,Military,Lighting,5,3.55
65000,Government,Power,5,9.12
65000,Government,Fire Alarm,5,2.03
65000,Government,AV /Wireless,5,2.03
132677,School,AV /Wireless,5,2.53
131794,Government,Domestic water,5,11.14
131794,Government,Domestic water,5,11.14
131794,Government,Domestic water,5,11.14
16000,College / University,Fire Alarm,5,0.51
104094,School,Power,5,10.13
104094,School,Telecomm,5,5.06
35000,Government,Domestic water,5,6.08
175354,School,Domestic water,5,16.46
108200,School,Mech. Duct,5,19.75
108200,School,Lighting,5,6.84
208833,Office Building,Mech. Duct,5,13.17
17300,Government,Mech. Duct,5,7.47
33000,School,AV /Wireless,5,1.77
544672,School,Sanitary & Storm,5,66.86
20000,School,Mech. Pipe,5,3.80
776296,Hotel,Mech. Duct,5,69.90
776296,Hotel,Power,5,40.52
55206,School,Mech. Pipe,5,6.33
842043,Office Building,Mech. Duct,5,20.26
41900,Warehouse / Supermarket,Domestic water,5,5.22
74505,Residential,Mech. Duct,5,16.71
634000,Residential,Domestic water,5,37.48
634000,Residential,Lighting,5,17.22
157512,Military,Power,5,13.42
90000,Residential,Sanitary & Storm,5,19.75
90000,Residential,Domestic water,5,13.68
6650,Military,Telecomm,5,2.03
124000,Residential,Telecomm,5,6.08
182000,College / University,Mech. Duct,5,35.46
135963,Industrial,Power,5,19.75
72746,School,Sanitary & Storm,5,12.16
93744,College / University,Lighting,5,4.05
93744,College / University,Fire Alarm,5,2.03
28700,Warehouse / Supermarket,Power,5,6.08
245000,School,Power,5,16.21
134972,College / University,Mech. Pipe,5,17.22
134972,College / University,Sanitary & Storm,5,19.25
13761,Government,Power,5,4.05
87250,Residential,Domestic water,5,13.17
124000,School,Lighting,5,7.09
124000,School,AV /Wireless,5,2.53
166506,School,Mech. Pipe,5,15.19
25260,Military,Mech. Pipe,5,4.15
25260,Military,Domestic water,5,4.05
13250,Healthcare,Mech. Pipe,5,2.63
136207,School,Sanitary & Storm,5,18.74
136207,School,Domestic water,5,13.17
87075,Government,Lighting,5,6.08
25700,Healthcare,Mech. Duct,5,5.57
154000,School,Medical Gas,5,4.05
179833,Government,Sanitary & Storm,5,15.19
154000,School,Medical Gas,5,4.05
69650,Healthcare,Lighting,5,4.86
121000,School,Lighting,5,7.09
8000,Other Educational,Lighting,5,2.03
41165,Warehouse / Supermarket,Lighting,5,2.28
26110,School,Telecomm,5.5,4.00
178000,School,Telecomm,5.5,6.75
44000,School,Power,5.5,8.00
64500,Office Building,Power,5.5,9.00
145850,School,Domestic water,5.5,14.50
161368,Industrial,Power,5.5,25.00
161368,Industrial,Power,5.5,25.00
161368,Industrial,Fire Alarm,5.5,2.50
161368,Industrial,Fire Alarm,5.5,2.50
138309,Healthcare,Sanitary & Storm,5.5,33.25
60800,Military,Mech. Duct,5.5,13.00
60800,Military,Sanitary & Storm,5.5,11.00
141360,Warehouse / Supermarket,Lighting,5.5,2.50
76545,School,Sanitary & Storm,5.5,13.00
76545,School,Power,5.5,10.00
40000,Healthcare,Domestic water,5.5,7.00
95000,Residential,Power,5.5,14.00
701572,Warehouse / Supermarket,Power,5.5,7.00
68500,School,Power,5.5,9.50
107000,School,Domestic water,5.5,12.00
126673,School,Power,5.5,12.00
31400,Industrial,Power,5.5,5.50
40000,College / University,Telecomm,5.5,3.00
58170,Government,Sanitary & Storm,5.5,10.00
58170,Government,Domestic water,5.5,7.50
53775,Government,Mech. Pipe,5.5,6.50
53775,Government,Fire Alarm,5.5,2.00
100000,School,Telecomm,5.5,5.00
103500,Office Building,Sanitary & Storm,5.5,11.35
96000,Healthcare,Mech. Pipe,5.5,11.53
184374,College / University,Fire Alarm,5.5,3.80
470000,Healthcare,Mech. Pipe,5.5,50.00
470174,School,Fire Alarm,5.5,10.00
57630,Warehouse / Supermarket,Sanitary & Storm,5.5,8.00
250000,School,Domestic water,5.5,23.00
250000,School,Lighting,5.5,13.25
179000,School,Domestic water,5.5,17.00
77557,School,Mech. Duct,5.5,17.50
44840,College / University,Lighting,5.5,3.00
36000,Hotel,Lighting,5.5,6.25
296622,Residential,Telecomm,5.5,6.70
345000,Healthcare,Fire Alarm,5.5,5.50
100894,Residential,Domestic water,5.5,15.00
26000,School,Telecomm,5.5,4.00
10886,Other Commercial,Sanitary & Storm,5.5,5.60
90000,School,Sanitary & Storm,5.5,15.50
364000,Transport,Sanitary & Storm,5.5,35.00
364000,Transport,Domestic water,5.5,19.95
364000,Transport,Power,5.5,28.80
242456,School,Mech. Duct,5.5,35.00
242456,School,Mech. Pipe,5.5,21.00
67000,School,Domestic water,5.5,9.50
35000,Healthcare,Lighting,5.5,5.00
186000,Residential,Mech. Duct,5.5,22.50
38000,Other Commercial,Sanitary & Storm,5.5,9.00
38000,Other Commercial,Lighting,5.5,4.00
28301,College / University,Mech. Duct,5.5,7.00
115000,College / University,Sanitary & Storm,5.5,18.50
115000,College / University,AV /Wireless,5.5,3.20
18650,Healthcare,Mech. Duct,5.5,4.00
43100,Military,Telecomm,5.5,4.25
108152,School,Mech. Duct,5.5,21.00
54000,Industrial,Telecomm,5.5,3.63
84978,School,Telecomm,5.5,5.00
100854,School,Mech. Duct,5.5,19.50
151600,School,Lighting,5.5,8.75
88730,School,Power,5.5,10.00
64105,Residential,Sanitary & Storm,5.5,19.00
183000,School,Lighting,5.5,10.50
28500,Industrial,Mech. Duct,5.5,15.00
49237,Healthcare,Mech. Duct,5.5,12.50
49237,Healthcare,Medical Gas,5.5,4.00
95007,School,Power,5.5,10.50
95007,School,Telecomm,5.5,5.00
50000,Military,Mech. Duct,5.5,11.00
50000,Military,Mech. Pipe,5.5,6.00
50000,Military,Lighting,5.5,3.50
55000,School,Power,5.5,9.00
124000,Office Building,Mech. Pipe,5.5,8.75
124000,Office Building,Domestic water,5.5,8.40
22000,School,Lighting,5.5,3.00
22000,School,Power,5.5,7.38
145000,School,Sanitary & Storm,5.5,22.00
145000,School,Power,5.5,13.00
85400,Residential,Power,5.5,13.00
119336,Warehouse / Supermarket,Power,5.5,6.50
78800,College / University,Mech. Pipe,5.5,10.50
88000,Government,Mech. Pipe,5.5,9.00
41000,College / University,Domestic water,5.5,5.00
215000,Government,Telecomm,5.5,12.00
158000,School,Domestic water,5.5,15.50
1700000,Residential,Power,5.5,61.00
40000,Office Building,Sanitary & Storm,5.5,10.00
117527,School,Domestic water,5.5,13.00
36699,School,Domestic water,5.5,7.00
110800,School,Power,5.5,11.00
85000,School,AV /Wireless,5.5,2.25
44000,Warehouse / Supermarket,Power,5.5,6.50
115000,School,Mech. Pipe,5.5,11.75
72000,Warehouse / Supermarket,Sanitary & Storm,5.5,8.00
21400,Industrial,Power,5.5,4.00
544672,School,Mech. Pipe,5.5,47.00
186000,Office Building,Fire Alarm,5.5,3.00
283285,Residential,Lighting,5.5,11.00
132677,School,Power,5.5,12.25
16000,College / University,Mech. Pipe,5.5,3.00
16000,College / University,Domestic water,5.5,2.50
81900,School,Mech. Pipe,5.5,8.88
222078,Government,Mech. Duct,5.5,23.50
175354,School,Sanitary & Storm,5.5,25.00
175354,School,Lighting,5.5,10.00
267000,School,AV /Wireless,5.5,4.00
100000,School,Sanitary & Storm,5.5,16.13
108200,School,Fire Alarm,5.5,2.50
208833,Office Building,Sanitary & Storm,5.5,14.00
337670,Residential,Domestic water,5.5,26.00
710197,Hotel,Lighting,5.5,20.00
544672,School,Mech. Pipe,5.5,47.00
1729864,Hotel,Mech. Duct,5.5,156.00
1729864,Hotel,Lighting,5.5,40.00
1729864,Hotel,Power,5.5,91.00
225230,Parking,Fire Alarm,5.5,1.25
842043,Office Building,Sanitary & Storm,5.5,29.00
41900,Warehouse / Supermarket,Power,5.5,6.25
41900,Warehouse / Supermarket,Telecomm,5.5,2.60
61800,Other Commercial,Sanitary & Storm,5.5,12.00
219939,School,Power,5.5,16.25
16700,Warehouse / Supermarket,Sanitary & Storm,5.5,7.50
16700,Warehouse / Supermarket,Domestic water,5.5,5.50
109500,Government,Sanitary & Storm,5.5,13.00
65000,Healthcare,Mech. Pipe,5.5,8.25
634000,Residential,Power,5.5,30.00
40000,Government,Sanitary & Storm,5.5,9.25
157512,Military,Mech. Duct,5.5,32.25
157512,Military,Sanitary & Storm,5.5,17.50
75550,Residential,Sanitary & Storm,5.5,20.00
25000,Government,Lighting,5.5,2.25
200000,School,Sanitary & Storm,5.5,28.50
200000,School,Power,5.5,16.00
45131,Healthcare,Mech. Pipe,5.5,6.00
33152,Government,Sanitary & Storm,5.5,9.00
33152,Government,Domestic water,5.5,6.00
55806,Warehouse / Supermarket,Power,5.5,6.25
55806,Warehouse / Supermarket,Fire Alarm,5.5,1.50
470000,Healthcare,Mech. Pipe,5.5,50.00
57802,Healthcare,Lighting,5.5,5.00
93744,College / University,Telecomm,5.5,4.00
93744,College / University,Power,5.5,10.00
93744,College / University,Telecomm,5.5,4.00
100000,Transport,Domestic water,5.5,7.50
124000,School,Domestic water,5.5,13.00
124000,School,Power,5.5,12.00
166506,School,Sanitary & Storm,5.5,23.50
166506,School,Domestic water,5.5,16.75
166506,School,Power,5.5,14.25
91476,Healthcare,Lighting,5.5,5.75
52143,Residential,Lighting,5.5,7.00
45000,College / University,Lighting,5.5,3.00
40000,Office Building,Mech. Pipe,5.5,7.00
104168,School,Mech. Duct,5.5,20.75
104168,School,Mech. Pipe,5.5,10.50
25700,Healthcare,Sanitary & Storm,5.5,5.50
85000,Military,Mech. Duct,5.5,18.00
154000,School,Telecomm,5.5,6.00
154000,School,Telecomm,5.5,6.00
121000,School,Mech. Pipe,5.5,12.00
75000,Hotel,Domestic water,6,13.82
233000,Healthcare,Telecomm,6,14.31
71624,Warehouse / Supermarket,Lighting,6,2.71
178000,School,Lighting,6,10.86
343900,Healthcare,Mech. Pipe,6,37.02
138309,Healthcare,Domestic water,6,21.72
60800,Military,Mech. Pipe,6,7.40
60800,Military,Domestic water,6,8.39
72000,Other Commercial,Lighting,6,5.43
160000,Government,Telecomm,6,9.38
50621,School,Domestic water,6,8.39
701572,Warehouse / Supermarket,Lighting,6,2.96
701572,Warehouse / Supermarket,Fire Alarm,6,1.97
14520,College / University,Sanitary & Storm,6,3.95
68500,School,Mech. Duct,6,17.77
95425,School,Lighting,6,6.91
252000,School,Mech. Pipe,6,23.20
46000,Government,Mech. Duct,6,10.37
66792,Residential,Mech. Pipe,6,7.40
107000,School,Mech. Pipe,6,11.85
107000,School,Power,6,11.85
31400,Industrial,Lighting,6,3.21
53775,Government,Domestic water,6,7.65
128000,School,Sanitary & Storm,6,21.22
43000,Hotel,Power,6,7.90
80000,School,AV /Wireless,6,2.37
470000,Healthcare,Mech. Duct,6,137.22
470000,Healthcare,Domestic water,6,74.04
470174,School,Sanitary & Storm,6,64.66
66000,Industrial,Domestic water,6,8.88
66000,Industrial,Medical Gas,6,7.90
880000,Residential,Mech. Duct,6,64.81
880000,Residential,Mech. Pipe,6,47.09
81544,College / University,Mech. Duct,6,19.25
36000,Hotel,Mech. Duct,6,13.33
296622,Residential,Mech. Pipe,6,18.76
296622,Residential,Sanitary & Storm,6,33.46
296622,Residential,Fire Alarm,6,6.91
222000,Residential,Mech. Duct,6,26.16
65000,College / University,Sanitary & Storm,6,11.85
104000,College / University,Mech. Duct,6,24.19
104000,College / University,AV /Wireless,6,2.96
196000,Healthcare,Telecomm,6,11.85
90000,School,AV /Wireless,6,2.47
80478,Hotel,Lighting,6,7.40
62000,Government,Lighting,6,4.94
242456,School,Lighting,6,13.82
242456,School,Telecomm,6,7.90
225647,School,Power,6,17.77
225647,School,Telecomm,6,7.90
35000,Healthcare,Mech. Pipe,6,5.43
23000,Other Educational,Sanitary & Storm,6,9.87
38000,Other Commercial,Domestic water,6,6.42
199000,Government,Fire Alarm,6,5.92
18650,Healthcare,Domestic water,6,3.95
43100,Military,Sanitary & Storm,6,9.87
95000,Government,Mech. Pipe,6,10.37
95000,Government,Domestic water,6,9.87
95000,Government,Telecomm,6,5.92
108152,School,Lighting,6,7.65
81544,College / University,Mech. Pipe,6,12.09
54000,Industrial,Power,6,9.13
213321,Residential,Mech. Pipe,6,14.56
64105,Residential,Power,6,13.33
100000,School,Power,6,11.85
100000,School,Fire Alarm,6,2.47
22100,Hotel,Mech. Duct,6,11.85
83300,Healthcare,Mech. Duct,6,23.20
83300,Healthcare,Sanitary & Storm,6,20.48
83300,Healthcare,Domestic water,6,14.07
52186,Office Building,AV /Wireless,6,1.97
49237,Healthcare,Domestic water,6,8.39
95007,School,Mech. Duct,6,20.73
50000,Military,Mech. Pipe,6,6.42
55000,School,Telecomm,6,4.69
119336,Warehouse / Supermarket,Sanitary & Storm,6,8.64
46000,Government,Mech. Duct,6,10.86
46000,Government,Mech. Pipe,6,6.42
46000,Government,Lighting,6,3.95
46000,Government,Power,6,7.90
41000,College / University,Mech. Duct,6,10.37
26661,Warehouse / Supermarket,Lighting,6,2.59
215000,Government,Domestic water,6,16.78
78000,School,Sanitary & Storm,6,14.61
78000,School,Domestic water,6,10.37
29743,Healthcare,Mech. Pipe,6,4.94
40000,Office Building,Domestic water,6,7.28
79000,Government,Lighting,6,6.42
130000,Warehouse / Supermarket,Domestic water,6,6.17
117527,School,Sanitary & Storm,6,18.76
180000,Government,AV /Wireless,6,3.70
300000,Residential,Lighting,6,12.09
72000,Warehouse / Supermarket,Lighting,6,2.71
500000,Healthcare,Telecomm,6,29.62
186000,Office Building,AV /Wireless,6,1.88
131794,Government,Telecomm,6,7.90
39971,Healthcare,Sanitary & Storm,6,9.38
60391,Military,Domestic water,6,8.39
132677,School,Sanitary & Storm,6,21.47
132677,School,Domestic water,6,14.56
131794,Government,Telecomm,6,7.90
131794,Government,Telecomm,6,7.90
131794,Government,Telecomm,6,7.90
222078,Government,Domestic water,6,17.67
222078,Government,Lighting,6,15.99
175354,School,Power,6,15.79
175354,School,Fire Alarm,6,3.95
175354,School,Telecomm,6,6.91
267000,School,Power,6,19.25
143670,Healthcare,Medical Gas,6,7.90
108200,School,Power,6,12.34
337670,Residential,Sanitary & Storm,6,35.54
75000,School,Mech. Pipe,6,9.13
47000,Healthcare,Mech. Duct,6,12.83
47000,Healthcare,Domestic water,6,8.39
544672,School,Domestic water,6,44.42
1729864,Hotel,Sanitary & Storm,6,91.81
1729864,Hotel,Domestic water,6,61.20
225230,Other Commercial,Sanitary & Storm,6,34.75
225230,Parking,Telecomm,6,3.95
225230,Other Commercial,Telecomm,6,7.90
20000,Residential,Power,6,11.85
65000,School,Mech. Pipe,6,8.14
61800,Other Commercial,Power,6,9.62
219939,School,Fire Alarm,6,4.94
16700,Warehouse / Supermarket,Mech. Duct,6,9.87
74505,Residential,Sanitary & Storm,6,20.73
74505,Residential,Domestic water,6,14.31
40000,Government,Domestic water,6,6.91
40000,Government,Power,6,7.40
40000,Government,Telecomm,6,2.96
20000,Government,Mech. Duct,6,8.39
20000,Government,Mech. Pipe,6,4.44
75550,Residential,Domestic water,6,14.56
75550,Residential,Power,6,13.33
200000,School,Mech. Pipe,6,19.74
200000,School,Domestic water,6,19.25
6650,Military,Lighting,6,1.48
33152,Government,Mech. Duct,6,9.87
33152,Government,Mech. Pipe,6,5.43
181000,Healthcare,Mech. Pipe,6,20.24
347122,Industrial,Telecomm,6,15.55
470000,Healthcare,Mech. Duct,6,137.22
470000,Healthcare,Domestic water,6,74.04
